scene,video,frame_idx,soft_label,label
scene_A,v01,0,0.0,normal
scene_A,v01,1,0.0,normal
scene_A,v01,2,0.0,normal
scene_A,v01,3,0.0,normal
scene_A,v01,4,0.0,normal
scene_A,v01,5,0.0,normal
scene_A,v01,6,0.0,normal
scene_A,v01,7,0.0,normal
scene_A,v01,8,0.0,normal
scene_A,v01,9,0.0,normal
scene_A,v01,10,0.0,normal
scene_A,v01,11,0.0,normal
scene_A,v01,12,0.0,normal
scene_A,v01,13,0.0,normal
scene_A,v01,14,0.0,normal
scene_A,v01,15,0.0,normal
scene_A,v01,16,0.0,normal
scene_A,v01,17,0.0,normal
scene_A,v01,18,0.0,normal
scene_A,v01,19,0.0,normal
scene_A,v01,20,0.0,normal
scene_A,v01,21,0.0,normal
scene_A,v01,22,0.0,normal
scene_A,v01,23,0.0,normal
scene_A,v01,24,0.0,normal
scene_A,v01,25,0.0,normal
scene_A,v01,26,0.0,normal
scene_A,v01,27,0.0,normal
scene_A,v01,28,0.0,normal
scene_A,v01,29,0.0,normal
scene_A,v01,30,0.0,normal
scene_A,v01,31,0.0,normal
scene_A,v01,32,0.0,normal
scene_A,v01,33,0.0,normal
scene_A,v01,34,0.0,normal
scene_A,v01,35,0.0,normal
scene_A,v01,36,0.0,normal
scene_A,v01,37,0.0,normal
scene_A,v01,38,0.0,normal
scene_A,v01,39,0.0,normal
scene_A,v01,40,0.0,normal
scene_A,v01,41,0.0,normal
scene_A,v01,42,0.0,normal
scene_A,v01,43,0.0,normal
scene_A,v01,44,0.0,normal
scene_A,v01,45,0.0,normal
scene_A,v01,46,0.0,normal
scene_A,v01,47,0.0,normal
scene_A,v01,48,0.0,normal
scene_A,v01,49,0.0,normal
scene_A,v01,50,0.0,normal
scene_A,v01,51,0.0,normal
scene_A,v01,52,0.0,normal
scene_A,v01,53,0.0,normal
scene_A,v01,54,0.0,normal
scene_A,v01,55,0.0,normal
scene_A,v01,56,0.0,normal
scene_A,v01,57,0.0,normal
scene_A,v01,58,0.0,normal
scene_A,v01,59,0.0,normal
scene_A,v01,60,0.0,normal
scene_A,v01,61,0.0,normal
scene_A,v01,62,0.0,normal
scene_A,v01,63,0.0,normal
scene_A,v01,64,0.0,normal
scene_A,v01,65,0.0,normal
scene_A,v01,66,0.0,normal
scene_A,v01,67,0.0,normal
scene_A,v01,68,0.0,normal
scene_A,v01,69,0.0,normal
scene_A,v01,70,0.0,normal
scene_A,v01,71,0.0,normal
scene_A,v01,72,0.0,normal
scene_A,v01,73,0.0,normal
scene_A,v01,74,0.0,normal
scene_A,v01,75,0.0,normal
scene_A,v01,76,0.0,normal
scene_A,v01,77,0.0,normal
scene_A,v01,78,0.0,normal
scene_A,v01,79,0.0,normal
scene_A,v01,80,0.0,normal
scene_A,v01,81,0.0,normal
scene_A,v01,82,0.0,normal
scene_A,v01,83,0.0,normal
scene_A,v01,84,0.0,normal
scene_A,v01,85,0.0,normal
scene_A,v01,86,0.0,normal
scene_A,v01,87,0.0,normal
scene_A,v01,88,0.0,normal
scene_A,v01,89,0.0,normal
scene_A,v01,90,0.0,normal
scene_A,v01,91,0.0,normal
scene_A,v01,92,0.0,normal
scene_A,v01,93,0.0,normal
scene_A,v01,94,0.0,normal
